Price,Close,High,Low,Open,Volume
Ticker,DX=F,DX=F,DX=F,DX=F,DX=F
Date,,,,,
2025-02-27,107.1760025024414,107.23500061035156,106.3499984741211,106.50499725341797,18466
2025-02-28,107.55799865722656,107.59500122070312,107.12000274658203,107.13500213623047,20775
2025-03-03,106.66899871826172,107.36000061035156,106.36499786376953,107.34500122070312,26743
2025-03-04,105.68699645996094,106.5999984741211,105.4749984741211,106.46499633789062,30314
2025-03-05,104.25199890136719,105.7249984741211,104.19999694824219,105.58000183105469,39013
2025-03-06,104.02799987792969,104.36000061035156,103.72000122070312,104.28500366210938,28107
2025-03-07,103.81199645996094,104.20500183105469,103.43000030517578,104.16000366210938,22542
2025-03-10,103.9530029296875,104.03500366210938,103.53500366210938,103.79000091552734,22017
2025-03-11,103.27300262451172,103.88999938964844,103.19499969482422,103.86000061035156,30314
2025-03-12,103.58699798583984,103.76000213623047,103.25499725341797,103.41999816894531,25401
2025-03-13,103.83000183105469,104.06999969482422,103.5,103.5999984741211,25401
2025-03-14,103.70500183105469,104.20999908447266,103.55999755859375,103.80000305175781,627
2025-03-17,103.47000122070312,103.74500274658203,103.52999877929688,103.73999786376953,14331
2025-03-18,102.89199829101562,103.30999755859375,102.83000183105469,103.0999984741211,18134
2025-03-19,103.09300231933594,103.56999969482422,102.91000366210938,102.94000244140625,18604
2025-03-20,103.49700164794922,103.77999877929688,102.98999786376953,103.04499816894531,18604
2025-03-21,103.74400329589844,103.88999938964844,103.4000015258789,103.43499755859375,16925
2025-03-24,103.93599700927734,104.12999725341797,103.48500061035156,103.76499938964844,24828
2025-03-25,103.83100128173828,104.1500015258789,103.5999984741211,103.99500274658203,13334
2025-03-26,104.20700073242188,104.28500366210938,103.84500122070312,103.88500213623047,16495
2025-03-27,103.99199676513672,104.33999633789062,103.73999786376953,104.30999755859375,20437
